team_short_name,team,team_id,position,first_name,last_name,full_name,jersey_number,age,height,weight,madden_score,total_salary,signing_bonus,birthday,years_pro
ATL,Jaguars,17,HB,James,Robinson,James Robinson,30,23,69,219,86,2260000,30000,902620800,1
ATL,Jaguars,17,MLB,Myles,Jack,Myles Jack,44,25,73,244,86,33000000,26020000,810086400,5
ATL,Raiders,23,CB,Casey,Hayward Jr,Casey Hayward Jr,29,31,71,192,86,1500000,1000000,621302400,10
ATL,Rams,24,LT,Andrew,Whitworth,Andrew Whitworth,77,39,79,330,86,12090000,17900000,376963200,15
ATL,Rams,24,WR,Cooper,Kupp,Cooper Kupp,10,28,74,208,86,29750000,19870000,740102400,4
ATL,Rams,24,P,Johnny,Hekker,Johnny Hekker,6,31,77,241,86,16560000,4710000,634435200,9
ATL,Patriots,22,RG,Shaq,Mason,Shaq Mason,69,28,73,310,86,24500000,22400000,746496000,6
ATL,Patriots,22,RT,Trent,Brown,Trent Brown,77,28,80,380,86,1130000,6500000,734659200,6
ATL,Jets,18,DT,Quinnen,Williams,Quinnen Williams,95,23,75,303,86,2000000,30520000,882576000,2
SFO,49ers,15,C,Alex,Mack,Alex Mack,50,35,76,311,86,9850000,4950000,501206400,12
SFO,49ers,15,HB,Raheem,Mostert,Raheem Mostert,31,29,70,205,86,6490000,2320000,702777600,6
CHI,Buccaneers,6,WR,Antonio,Brown,Antonio Brown,81,33,70,181,86,1000000,2080000,584496000,11
CHI,Buccaneers,6,TE,Rob,Gronkowski,Rob Gronkowski,87,32,78,268,86,1750000,1250000,611107200,10
ATL,Titans,30,WR,A.J.,Brown,A.J. Brown,11,24,72,226,86,3280000,2370000,867628800,2
ATL,Commanders,26,RE,Chase,Young,Chase Young,99,22,77,264,86,2000000,32570000,915148800,1
ATL,Commanders,26,DT,Matthew,Ioannidis,Matthew Ioannidis,98,27,75,310,86,13250000,10530000,758246400,5
ATL,Commanders,26,CB,William,Jackson III,William Jackson III,23,28,72,196,86,24410000,16000000,720144000,5
ATL,Falcons,14,QB,Matt,Ryan,Matt Ryan,2,36,76,217,85,61000000,110640000,485136000,13
ATL,Ravens,25,DT,Brandon,Williams,Brandon Williams,98,32,73,340,85,16780000,31230000,604022400,8
ATL,Panthers,21,RT,Taylor,Moton,Taylor Moton,72,27,77,325,85,13750000,0,777168000,4
CHI,Bengals,2,WR,Tyler,Boyd,Tyler Boyd,83,26,74,203,85,33200000,11120000,784857600,5
CHI,Broncos,4,ROLB,Bradley,Chubb,Bradley Chubb,55,25,76,275,85,22080000,17920000,835574400,3
CHI,Broncos,4,HB,Melvin,Gordon III,Melvin Gordon III,25,28,73,215,85,3000000,13000000,734659200,6
ATL,Lions,19,TE,T.J.,Hockenson,T.J. Hockenson,88,24,77,251,85,2000000,17820000,867888000,2
ATL,Texans,32,WR,Brandin,Cooks,Brandin Cooks,13,27,70,183,85,30460000,18700000,748915200,7
ATL,Jaguars,17,CB,Shaquill,Griffin,Shaquill Griffin,26,26,72,198,85,15380000,24500000,806198400,4
ARI,Chargers,8,HB,Austin,Ekeler,Austin Ekeler,30,26,70,200,85,11750000,12750000,800668800,4
MIA,Dolphins,12,K,Jason,Sanders,Jason Sanders,7,25,71,195,85,16220000,6740000,816480000,3
MIA,Dolphins,12,TE,Mike,Gesicki,Mike Gesicki,88,25,78,250,85,3720000,2880000,812678400,3
MIA,Dolphins,12,WR,Will,Fuller V,Will Fuller V,3,27,72,184,85,500000,10130000,766454400,5
ATL,Patriots,22,C,David,Andrews,David Andrews,60,29,75,300,85,12500000,6500000,710726400,6
ATL,Patriots,22,CB,JC,Jackson,JC Jackson,27,25,70,198,85,3380000,0,816566400,3
ATL,Giants,16,WR,Kenny,Golladay,Kenny Golladay,19,27,76,213,85,44250000,24350000,752284800,4
ATL,Jets,18,SS,Marcus,Maye,Marcus Maye,20,28,72,207,85,10610000,0,731635200,4
MIA,Eagles,13,LE,Brandon,Graham,Brandon Graham,55,33,74,265,85,3330000,23890000,576028800,11
CHI,Buccaneers,6,MLB,Devin,White,Devin White,45,23,72,237,85,2000000,27310000,887673600,2
CHI,Buccaneers,6,RE,Ndamukong,Suh,Ndamukong Suh,93,34,76,313,85,4000000,1000000,536889600,11
ATL,Titans,30,P,Brett,Kern,Brett Kern,6,35,74,214,85,9050000,4100000,508982400,13
ATL,Titans,30,LG,Rodger,Saffold III,Rodger Saffold III,76,33,77,325,85,25000000,19000000,581558400,11
ATL,Titans,30,LT,Taylor,Lewan,Taylor Lewan,77,30,79,309,85,66040000,23300000,680140800,7
ATL,Ravens,25,P,Sam,Koch,Sam Koch,4,39,73,222,84,3950000,2100000,398044800,15
ATL,Panthers,21,WR,D.J.,Moore,D.J. Moore,2,24,72,210,84,16090000,6200000,860976000,3
CHI,Browns,5,QB,Baker,Mayfield,Baker Mayfield,6,26,73,215,84,29700000,21840000,797817600,3
CHI,Browns,5,LE,Jadeveon,Clowney,Jadeveon Clowney,90,28,77,255,84,500000,3370000,729648000,7
CHI,Browns,5,WR,Jarvis,Landry,Jarvis Landry,80,28,71,196,84,67800000,7700000,722908800,7
CHI,Browns,5,C,JC,Tretter,JC Tretter,64,30,76,307,84,24050000,15770000,666316800,8
CHI,Broncos,4,LT,Garett,Bolles,Garett Bolles,72,29,77,297,84,49470000,22040000,706924800,4
ATL,Texans,32,CB,Bradley,Roby,Bradley Roby,21,29,71,194,84,12500000,18810000,704678400,7
KAN,Colts,10,RT,Braden,Smith,Braden Smith,72,25,78,315,84,4850000,3280000,827712000,3
KAN,Colts,10,CB,Kenny,Moore II,Kenny Moore II,23,26,69,190,84,25440000,8500000,809136000,4
KAN,Colts,10,HB,Marlon,Mack,Marlon Mack,25,25,72,210,84,500000,1500000,826156800,4
ATL,Jaguars,17,C,Brandon,Linder,Brandon Linder,65,29,78,315,84,53500000,130000,696297600,7
KAN,Chiefs,9,HB,Clyde,Edwards-Helaire,Clyde Edwards-Helaire,25,22,67,209,84,3690000,7130000,923788800,1
KAN,Chiefs,9,K,Harrison,Butker,Harrison Butker,7,26,76,205,84,15280000,5650000,805680000,4
KAN,Chiefs,9,LG,Joe,Thuney,Joe Thuney,62,28,77,305,84,82000000,0,722044800,5
ARI,Chargers,8,TE,Jared,Cook,Jared Cook,87,34,77,254,84,500000,4000000,544752000,12
ARI,Chargers,8,DT,Linval,Joseph,Linval Joseph,98,32,76,329,84,8000000,9000000,592444800,11
ATL,Rams,24,CB,Darious,Williams,Darious Williams,11,28,69,184,84,4760000,0,732153600,3
MIA,Dolphins,12,WR,DeVante,Parker,DeVante Parker,11,28,75,211,84,26240000,14100000,727488000,6
ATL,Saints,27,SS,C.J.,Gardner-Johnson,C.J. Gardner-Johnson,22,23,71,210,84,2540000,760000,882576000,2
ATL,Saints,27,FS,Marcus,Williams,Marcus Williams,43,24,73,195,84,10610000,0,842140800,4
ATL,Giants,16,RE,Leonard,Williams,Leonard Williams,99,27,77,302,84,19000000,44000000,772070400,6
ATL,Jets,18,MLB,C.J.,Mosley,C.J. Mosley,57,29,74,250,84,43000000,32000000,708912000,7
MIA,Eagles,13,TE,Dallas,Goedert,Dallas Goedert,88,26,76,256,84,3460000,2160000,789091200,3
ATL,Steelers,29,WR,JuJu,Smith-Schuster,JuJu Smith-Schuster,19,24,73,215,84,1000000,1400000,848620800,4
SFO,49ers,15,LE,Arik,Armstead,Arik Armstead,91,27,79,292,84,52850000,30650000,753321600,6
SFO,49ers,15,CB,Jason,Verrett,Jason Verrett,2,30,70,188,84,810000,4500000,677203200,7
SFO,49ers,15,FS,Jimmie,Ward,Jimmie Ward,1,30,71,195,84,15500000,12910000,679795200,7
CHI,Buccaneers,6,ROLB,Jason,Pierre-Paul,Jason Pierre-Paul,90,32,77,278,84,8000000,17000000,599616000,11
ATL,Titans,30,MLB,Rashaan,Evans,Rashaan Evans,54,25,74,232,84,5080000,6490000,815788800,3
ATL,Ravens,25,RG,Kevin,Zeitler,Kevin Zeitler,70,31,76,330,83,7500000,15000000,636854400,9
CHI,Bills,3,WR,Emmanuel,Sanders,Emmanuel Sanders,1,34,71,180,83,500000,5490000,542937600,11
CHI,Bills,3,RE,Jerry,Hughes,Jerry Hughes,55,33,74,254,83,8600000,23300000,587433600,11
CHI,Bills,3,MLB,Tremaine,Edmunds,Tremaine Edmunds,49,23,77,250,83,18100000,7280000,894067200,3
ATL,Panthers,21,CB,A.J.,Bouye,A.J. Bouye,24,30,72,191,83,4000000,3000000,682300800,8
CHI,Broncos,4,TE,Noah,Fant,Noah Fant,87,23,76,249,83,2000000,10590000,879984000,2
ATL,Texans,32,CB,Desmond,King II,Desmond King II,25,26,70,200,83,2470000,500000,787363200,4
ATL,Texans,32,FS,Justin,Reid,Justin Reid,20,24,73,202,83,4420000,1040000,855964800,3
ATL,Texans,32,HB,Phillip,Lindsay,Phillip Lindsay,30,27,68,190,83,2090000,1000000,775008000,3
KAN,Colts,10,DT,Grover,Stewart,Grover Stewart,90,27,76,315,83,27140000,5860000,751075200,4
KAN,Colts,10,HB,Jonathan,Taylor,Jonathan Taylor,28,22,70,226,83,4120000,3710000,916704000,1
KAN,Colts,10,WR,T.Y.,Hilton,T.Y. Hilton,13,31,70,183,83,4000000,4000000,627004800,9
ATL,Jaguars,17,K,Josh,Lambo,Josh Lambo,4,30,72,215,83,12000000,3520000,658972800,6
ATL,Jaguars,17,WR,Marvin,Jones Jr,Marvin Jones Jr,11,31,74,198,83,9200000,0,637200000,9
ATL,Raiders,23,HB,Kenyan,Drake,Kenyan Drake,23,27,73,211,83,3000000,8000000,759542400,5
ATL,Rams,24,QB,Matthew,Stafford,Matthew Stafford,9,33,75,220,83,86700000,72550000,571190400,12
ATL,Rams,24,DT,Sebastian,Joseph-Day,Sebastian Joseph-Day,69,26,76,310,83,3890000,160000,795744000,3
ATL,Patriots,22,CB,Jonathan,Jones,Jonathan Jones,31,27,70,190,83,12300000,11800000,748483200,5
ATL,Saints,27,C,Erik,McCoy,Erik McCoy,78,24,76,303,83,3370000,2710000,872640000,2
ATL,Giants,16,TE,Evan,Engram,Evan Engram,88,26,75,240,83,5290000,11430000,778464000,4
ATL,Giants,16,FS,Logan,Ryan,Logan Ryan,23,30,71,195,83,13550000,23000000,666057600,8
ATL,Jets,18,RE,Carl,Lawson,Carl Lawson,58,26,74,261,83,16000000,28990000,804384000,4
ATL,Jets,18,WR,Corey,Davis,Corey Davis,84,26,75,209,83,11500000,25990000,789782400,4
ATL,Steelers,29,TE,Eric,Ebron,Eric Ebron,85,28,76,253,83,7000000,5000000,734400000,7
ATL,Steelers,29,DT,Tyson,Alualu,Tyson Alualu,94,34,75,304,83,3580000,1920000,547776000,11
ATL,Seahawks,28,LT,Duane,Brown,Duane Brown,76,36,76,315,83,36250000,8000000,494208000,13
CHI,Buccaneers,6,FS,Antoine,Winfield Jr,Antoine Winfield Jr,31,23,69,203,83,3990000,3320000,903225600,1
CHI,Buccaneers,6,CB,Carlton,Davis III,Carlton Davis III,24,24,73,203,83,4470000,1280000,851990400,3
ATL,Titans,30,LE,Jeffery,Simmons,Jeffery Simmons,98,24,76,301,83,2000000,10660000,870048000,2
ATL,Commanders,26,WR,Curtis,Samuel,Curtis Samuel,10,25,71,196,83,30000000,0,839721600,4
ATL,Commanders,26,P,Tress,Way,Tress Way,5,31,73,220,83,14010000,3500000,640396800,8
ARI,Cardinals,7,CB,Byron,Murphy Jr,Byron Murphy Jr,7,23,71,190,82,3080000,4910000,885081600,2
